G:\Data\IMG\center_2019_09_21_15_29_30_862.jpg,G:\Data\IMG\left_2019_09_21_15_29_30_862.jpg,G:\Data\IMG\right_2019_09_21_15_29_30_862.jpg,0,0,0,25.4103
G:\Data\IMG\center_2019_09_21_15_29_30_933.jpg,G:\Data\IMG\left_2019_09_21_15_29_30_933.jpg,G:\Data\IMG\right_2019_09_21_15_29_30_933.jpg,0,0,0,25.25691
G:\Data\IMG\center_2019_09_21_15_29_31_005.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_005.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_005.jpg,0,0,0,25.05383
G:\Data\IMG\center_2019_09_21_15_29_31_076.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_076.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_076.jpg,0,0,0,24.9026
G:\Data\IMG\center_2019_09_21_15_29_31_147.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_147.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_147.jpg,0,0,0,24.70238
G:\Data\IMG\center_2019_09_21_15_29_31_218.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_218.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_218.jpg,0,0,0,24.55327
G:\Data\IMG\center_2019_09_21_15_29_31_289.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_289.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_289.jpg,0,0,0,24.35584
G:\Data\IMG\center_2019_09_21_15_29_31_358.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_358.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_358.jpg,0,0,0,24.20883
G:\Data\IMG\center_2019_09_21_15_29_31_427.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_427.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_427.jpg,0,0,0,24.01418
G:\Data\IMG\center_2019_09_21_15_29_31_496.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_496.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_496.jpg,0,0,0,23.86922
G:\Data\IMG\center_2019_09_21_15_29_31_565.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_565.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_565.jpg,0,0,0,23.67731
G:\Data\IMG\center_2019_09_21_15_29_31_634.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_634.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_634.jpg,0,0,0,23.53439
G:\Data\IMG\center_2019_09_21_15_29_31_706.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_706.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_706.jpg,0,0,0,23.34517
G:\Data\IMG\center_2019_09_21_15_29_31_774.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_774.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_774.jpg,0,0,0,23.20425
G:\Data\IMG\center_2019_09_21_15_29_31_848.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_848.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_848.jpg,0,0,0,23.01769
G:\Data\IMG\center_2019_09_21_15_29_31_914.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_914.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_914.jpg,0,0,0,22.87876
G:\Data\IMG\center_2019_09_21_15_29_31_983.jpg,G:\Data\IMG\left_2019_09_21_15_29_31_983.jpg,G:\Data\IMG\right_2019_09_21_15_29_31_983.jpg,0,0,0,22.6948
G:\Data\IMG\center_2019_09_21_15_29_32_051.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_051.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_051.jpg,0,0,0,22.55781
G:\Data\IMG\center_2019_09_21_15_29_32_121.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_121.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_121.jpg,0,0,0,22.37645
G:\Data\IMG\center_2019_09_21_15_29_32_189.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_189.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_189.jpg,0,0,0.1621167,21.4063
G:\Data\IMG\center_2019_09_21_15_29_32_256.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_256.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_256.jpg,0,0,0.3470853,20.40563
G:\Data\IMG\center_2019_09_21_15_29_32_324.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_324.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_324.jpg,0,0,0.5942499,19.08475
G:\Data\IMG\center_2019_09_21_15_29_32_391.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_391.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_391.jpg,0,0,0.7753314,18.10441
G:\Data\IMG\center_2019_09_21_15_29_32_465.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_465.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_465.jpg,0,0,1,16.81087
G:\Data\IMG\center_2019_09_21_15_29_32_539.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_539.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_539.jpg,0,0,1,15.85068
G:\Data\IMG\center_2019_09_21_15_29_32_610.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_610.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_610.jpg,0,0,1,14.58331
G:\Data\IMG\center_2019_09_21_15_29_32_682.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_682.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_682.jpg,0,0,1,13.33044
G:\Data\IMG\center_2019_09_21_15_29_32_750.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_750.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_750.jpg,0,0,1,12.40015
G:\Data\IMG\center_2019_09_21_15_29_32_824.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_824.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_824.jpg,0,0,1,11.17211
G:\Data\IMG\center_2019_09_21_15_29_32_890.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_890.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_890.jpg,0,0,0.8240029,10.27628
G:\Data\IMG\center_2019_09_21_15_29_32_963.jpg,G:\Data\IMG\left_2019_09_21_15_29_32_963.jpg,G:\Data\IMG\right_2019_09_21_15_29_32_963.jpg,0,0,0.5840174,9.056762
G:\Data\IMG\center_2019_09_21_15_29_33_029.jpg,G:\Data\IMG\left_2019_09_21_15_29_33_029.jpg,G:\Data\IMG\right_2019_09_21_15_29_33_029.jpg,0,0,0.3992021,8.159212
G:\Data\IMG\center_2019_09_21_15_29_33_104.jpg,G:\Data\IMG\left_2019_09_21_15_29_33_104.jpg,G:\Data\IMG\right_2019_09_21_15_29_33_104.jpg,0,0,0.1580729,6.979105
G:\Data\IMG\center_2019_09_21_15_29_33_171.jpg,G:\Data\IMG\left_2019_09_21_15_29_33_171.jpg,G:\Data\IMG\right_2019_09_21_15_29_33_171.jpg,0,0,0,6.138012
G:\Data\IMG\center_2019_09_21_15_29_33_239.jpg,G:\Data\IMG\left_2019_09_21_15_29_33_239.jpg,G:\Data\IMG\right_2019_09_21_15_29_33_239.jpg,0,0,0,6.099457
G:\Data\IMG\center_2019_09_21_15_29_33_312.jpg,G:\Data\IMG\left_2019_09_21_15_29_33_312.jpg,G:\Data\IMG\right_2019_09_21_15_29_33_312.jpg,0,0,0,6.050409
G:\Data\IMG\center_2019_09_21_15_29_33_378.jpg,G:\Data\IMG\left_2019_09_21_15_29_33_378.jpg,G:\Data\IMG\right_2019_09_21_15_29_33_378.jpg,0,0,0,6.013893
G:\Data\IMG\center_2019_09_21_15_29_33_445.jpg,G:\Data\IMG\left_2019_09_21_15_29_33_445.jpg,G:\Data\IMG\right_2019_09_21_15_29_33_445.jpg,0,0,0,5.965556
G:\Data\IMG\center_2019_09_21_15_29_33_512.jpg,G:\Data\IMG\left_2019_09_21_15_29_33_512.jpg,G:\Data\IMG\right_2019_09_21_15_29_33_512.jpg,0,0,0,5.929559
G:\Data\IMG\center_2019_09_21_15_29_33_588.jpg,G:\Data\IMG\left_2019_09_21_15_29_33_588.jpg,G:\Data\IMG\right_2019_09_21_15_29_33_588.jpg,0,0,0,5.881903
G:\Data\IMG\center_2019_09_21_15_29_33_659.jpg,G:\Data\IMG\left_2019_09_21_15_29_33_659.jpg,G:\Data\IMG\right_2019_09_21_15_29_33_659.jpg,0,0,0,5.846412
